entry_id,transaction_id,date,record_type,entity,counterparty,account,entry_role,economic_class,unit,cash_change,asset_change,liability_change,direct_demand_category,note,consolidation_value
A-D0-RESERVE-POSITION-A,A-D0-RESERVE-POSITION,0,balance_sheet,public_sector,depository,earmarked_reserve_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Public deposit asset and matching issuer liability,0.0
A-D0-RESERVE-POSITION-L,A-D0-RESERVE-POSITION,0,balance_sheet,depository,public_sector,earmarked_reserve_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Public deposit asset and matching issuer liability,0.0
A-D0-UNUSED-POSITION-A,A-D0-UNUSED-POSITION,0,balance_sheet,public_sector,depository,unused_balance_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Unused public deposit and matching issuer liability,0.0
A-D0-UNUSED-POSITION-L,A-D0-UNUSED-POSITION,0,balance_sheet,depository,public_sector,unused_balance_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Unused public deposit and matching issuer liability,0.0
A-D1-RESERVE-REDEMPTION-A,A-D1-RESERVE-REDEMPTION,1,balance_sheet,public_sector,depository,earmarked_reserve_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,-0.0,0.0,,Reserve asset and deposit liability are redeemed together,-0.0
A-D1-RESERVE-REDEMPTION-L,A-D1-RESERVE-REDEMPTION,1,balance_sheet,depository,public_sector,earmarked_reserve_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,-0.0,,Reserve asset and deposit liability are redeemed together,0.0
B-D0-RESERVE-POSITION-A,B-D0-RESERVE-POSITION,0,balance_sheet,public_sector,depository,earmarked_reserve_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Public deposit asset and matching issuer liability,0.0
B-D0-RESERVE-POSITION-L,B-D0-RESERVE-POSITION,0,balance_sheet,depository,public_sector,earmarked_reserve_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Public deposit asset and matching issuer liability,0.0
B-D0-UNUSED-POSITION-A,B-D0-UNUSED-POSITION,0,balance_sheet,public_sector,depository,unused_balance_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Unused public deposit and matching issuer liability,0.0
B-D0-UNUSED-POSITION-L,B-D0-UNUSED-POSITION,0,balance_sheet,depository,public_sector,unused_balance_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Unused public deposit and matching issuer liability,0.0
B-D1-RESERVE-REDEMPTION-A,B-D1-RESERVE-REDEMPTION,1,balance_sheet,public_sector,depository,earmarked_reserve_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,-0.0,0.0,,Reserve asset and deposit liability are redeemed together,-0.0
B-D1-RESERVE-REDEMPTION-L,B-D1-RESERVE-REDEMPTION,1,balance_sheet,depository,public_sector,earmarked_reserve_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,-0.0,,Reserve asset and deposit liability are redeemed together,0.0
C-D0-RESERVE-POSITION-A,C-D0-RESERVE-POSITION,0,balance_sheet,public_sector,depository,earmarked_reserve_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,4.0,0.0,,Public deposit asset and matching issuer liability,4.0
C-D0-RESERVE-POSITION-L,C-D0-RESERVE-POSITION,0,balance_sheet,depository,public_sector,earmarked_reserve_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,4.0,,Public deposit asset and matching issuer liability,-4.0
C-D0-UNUSED-POSITION-A,C-D0-UNUSED-POSITION,0,balance_sheet,public_sector,depository,unused_balance_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Unused public deposit and matching issuer liability,0.0
C-D0-UNUSED-POSITION-L,C-D0-UNUSED-POSITION,0,balance_sheet,depository,public_sector,unused_balance_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Unused public deposit and matching issuer liability,0.0
C-D1-RESERVE-REDEMPTION-A,C-D1-RESERVE-REDEMPTION,1,balance_sheet,public_sector,depository,earmarked_reserve_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,-4.0,0.0,,Reserve asset and deposit liability are redeemed together,-4.0
C-D1-RESERVE-REDEMPTION-L,C-D1-RESERVE-REDEMPTION,1,balance_sheet,depository,public_sector,earmarked_reserve_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,-4.0,,Reserve asset and deposit liability are redeemed together,4.0
D-D0-RESERVE-POSITION-A,D-D0-RESERVE-POSITION,0,balance_sheet,public_sector,depository,earmarked_reserve_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,4.0,0.0,,Public deposit asset and matching issuer liability,4.0
D-D0-RESERVE-POSITION-L,D-D0-RESERVE-POSITION,0,balance_sheet,depository,public_sector,earmarked_reserve_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,4.0,,Public deposit asset and matching issuer liability,-4.0
D-D0-UNUSED-POSITION-A,D-D0-UNUSED-POSITION,0,balance_sheet,public_sector,depository,unused_balance_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Unused public deposit and matching issuer liability,0.0
D-D0-UNUSED-POSITION-L,D-D0-UNUSED-POSITION,0,balance_sheet,depository,public_sector,unused_balance_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Unused public deposit and matching issuer liability,0.0
D-D1-RESERVE-REDEMPTION-A,D-D1-RESERVE-REDEMPTION,1,balance_sheet,public_sector,depository,earmarked_reserve_asset,asset,deposit_position,date-0 goods at P0=P1=1,0.0,-4.0,0.0,,Reserve asset and deposit liability are redeemed together,-4.0
D-D1-RESERVE-REDEMPTION-L,D-D1-RESERVE-REDEMPTION,1,balance_sheet,depository,public_sector,earmarked_reserve_liability,liability,deposit_position,date-0 goods at P0=P1=1,0.0,0.0,-4.0,,Reserve asset and deposit liability are redeemed together,4.0
