entry_id,transaction_id,date,record_type,entity,counterparty,account,entry_role,economic_class,unit,cash_change,asset_change,liability_change,direct_demand_category,note,consolidation_value
A-D0-AUTOMATION-P,A-D0-AUTOMATION,0,cash,exposed_households_H,owners_S,cash,payer,automation_income_shift,date-0 goods at P0=P1=1,-20.0,0.0,0.0,,Conditional liquid-income displacement,-20.0
A-D0-AUTOMATION-R,A-D0-AUTOMATION,0,cash,owners_S,exposed_households_H,cash,receiver,automation_income_shift,date-0 goods at P0=P1=1,20.0,0.0,0.0,,Conditional liquid-income displacement,20.0
A-D0-TAX-P,A-D0-TAX,0,cash,owners_S,treasury,cash,payer,automation_receipts,date-0 goods at P0=P1=1,-0.0,0.0,0.0,,Tax on the legally covered and compliant automation-income base,-0.0
A-D0-TAX-R,A-D0-TAX,0,cash,treasury,owners_S,cash,receiver,automation_receipts,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Tax on the legally covered and compliant automation-income base,0.0
A-D0-TRANSFER-P,A-D0-TRANSFER,0,cash,treasury,exposed_households_H,cash,payer,public_transfer,date-0 goods at P0=P1=1,-0.0,0.0,0.0,,Transfer to the high-MPC exposed group,-0.0
A-D0-TRANSFER-R,A-D0-TRANSFER,0,cash,exposed_households_H,treasury,cash,receiver,public_transfer,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Transfer to the high-MPC exposed group,0.0
A-D0-ADMIN-P,A-D0-ADMIN,0,cash,treasury,administrative_supplier,cash,payer,public_purchase,date-0 goods at P0=P1=1,-0.0,0.0,0.0,,Administration purchased once,-0.0
A-D0-ADMIN-R,A-D0-ADMIN,0,cash,administrative_supplier,treasury,cash,receiver,public_purchase,date-0 goods at P0=P1=1,0.0,0.0,0.0,administration,Administration purchased once,0.0
A-D0-INVESTMENT-P,A-D0-INVESTMENT,0,cash,treasury,capital_goods_supplier,cash,payer,public_investment,date-0 goods at P0=P1=1,-0.0,0.0,0.0,,Capacity investment purchased once,-0.0
A-D0-INVESTMENT-R,A-D0-INVESTMENT,0,cash,capital_goods_supplier,treasury,cash,receiver,public_investment,date-0 goods at P0=P1=1,0.0,0.0,0.0,capacity_investment,Capacity investment purchased once,0.0
A-D0-RESERVE-P,A-D0-RESERVE,0,cash,treasury,depository,cash,payer,financial_deposit,date-0 goods at P0=P1=1,-0.0,0.0,0.0,,Earmarked reserve; not date-0 current demand,-0.0
A-D0-RESERVE-R,A-D0-RESERVE,0,cash,depository,treasury,cash,receiver,financial_deposit,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Earmarked reserve; not date-0 current demand,0.0
A-D0-UNUSED-P,A-D0-UNUSED,0,cash,treasury,depository,cash,payer,financial_deposit,date-0 goods at P0=P1=1,-0.0,0.0,0.0,,Unallocated public balance; not current demand,-0.0
A-D0-UNUSED-R,A-D0-UNUSED,0,cash,depository,treasury,cash,receiver,financial_deposit,date-0 goods at P0=P1=1,0.0,0.0,0.0,,Unallocated public balance; not current demand,0.0
A-D1-OPERATION-P,A-D1-OPERATION,1,cash,depository,operating_input_supplier,cash,payer,public_purchase,date-0 goods at P0=P1=1,-0.0,0.0,0.0,,Operating input purchased once at date 1,-0.0
