m_H,m_S_fixed,phi,delta_D0_dir,q_1,O_1,demand_gate,opportunity_gate,region,policy_allocation
0.31,0.3,0.04,1.52,0.19,1.95,True,False,demand_only,Scenario C fixed
0.31,0.3,0.045,1.52,0.20500000000000002,2.0250000000000004,True,False,demand_only,Scenario C fixed
0.31,0.3,0.05,1.52,0.22000000000000003,2.1,True,False,demand_only,Scenario C fixed
0.31,0.3,0.055,1.52,0.23500000000000001,2.175,True,False,demand_only,Scenario C fixed
0.31,0.3,0.06,1.52,0.25,2.25,True,False,demand_only,Scenario C fixed
0.31,0.3,0.065,1.52,0.265,2.325,True,False,demand_only,Scenario C fixed
0.31,0.3,0.07,1.52,0.28,2.4000000000000004,True,False,demand_only,Scenario C fixed
0.31,0.3,0.07500000000000001,1.52,0.29500000000000004,2.475,True,False,demand_only,Scenario C fixed
0.31,0.3,0.08,1.52,0.31,2.55,True,False,demand_only,Scenario C fixed
0.31,0.3,0.08499999999999999,1.52,0.325,2.625,True,False,demand_only,Scenario C fixed
0.31,0.3,0.09,1.52,0.34,2.7,True,False,demand_only,Scenario C fixed
0.31,0.3,0.095,1.52,0.35500000000000004,2.7750000000000004,True,False,demand_only,Scenario C fixed
0.31,0.3,0.1,1.52,0.37000000000000005,2.8500000000000005,True,False,demand_only,Scenario C fixed
0.31,0.3,0.10500000000000001,1.52,0.38500000000000006,2.9250000000000003,True,False,demand_only,Scenario C fixed
0.31,0.3,0.11000000000000001,1.52,0.4000000000000001,3.0000000000000004,True,False,demand_only,Scenario C fixed
0.31,0.3,0.11499999999999999,1.52,0.415,3.0749999999999997,True,False,demand_only,Scenario C fixed
0.31,0.3,0.12,1.52,0.43,3.15,True,False,demand_only,Scenario C fixed
0.31,0.3,0.125,1.52,0.445,3.225,True,False,demand_only,Scenario C fixed
0.31,0.3,0.13,1.52,0.46,3.3000000000000003,True,False,demand_only,Scenario C fixed
0.31,0.3,0.135,1.52,0.47500000000000003,3.375,True,False,demand_only,Scenario C fixed
0.31,0.3,0.14,1.52,0.49000000000000005,3.45,True,False,demand_only,Scenario C fixed
0.31,0.3,0.145,1.52,0.5049999999999999,3.5249999999999995,True,False,demand_only,Scenario C fixed
0.31,0.3,0.15,1.52,0.52,3.6,True,False,demand_only,Scenario C fixed
0.31,0.3,0.155,1.52,0.5349999999999999,3.675,True,False,demand_only,Scenario C fixed
0.31,0.3,0.16,1.52,0.55,3.75,True,False,demand_only,Scenario C fixed
0.31,0.3,0.165,1.52,0.565,3.8249999999999997,True,False,demand_only,Scenario C fixed
0.31,0.3,0.17,1.52,0.5800000000000001,3.9000000000000004,True,False,demand_only,Scenario C fixed
0.31,0.3,0.17500000000000002,1.52,0.595,3.9749999999999996,True,False,demand_only,Scenario C fixed
0.31,0.3,0.18000000000000002,1.52,0.6100000000000001,4.050000000000001,True,False,demand_only,Scenario C fixed
0.31,0.3,0.185,1.52,0.625,4.125,True,False,demand_only,Scenario C fixed
0.31,0.3,0.19,1.52,0.6400000000000001,4.200000000000001,True,False,demand_only,Scenario C fixed
0.31,0.3,0.195,1.52,0.655,4.275,True,False,demand_only,Scenario C fixed
0.31,0.3,0.2,1.52,0.6700000000000002,4.3500000000000005,True,False,demand_only,Scenario C fixed
0.31,0.3,0.20500000000000002,1.52,0.685,4.425000000000001,True,False,demand_only,Scenario C fixed
0.31,0.3,0.21000000000000002,1.52,0.7000000000000002,4.500000000000001,True,False,demand_only,Scenario C fixed
0.31,0.3,0.21500000000000002,1.52,0.7150000000000001,4.575,True,False,demand_only,Scenario C fixed
0.31,0.3,0.22,1.52,0.73,4.65,True,False,demand_only,Scenario C fixed
0.31,0.3,0.225,1.52,0.7450000000000001,4.7250000000000005,True,False,demand_only,Scenario C fixed
0.31,0.3,0.23,1.52,0.76,4.8,True,False,demand_only,Scenario C fixed
0.31,0.3,0.23500000000000001,1.52,0.7750000000000001,4.875000000000001,True,False,demand_only,Scenario C fixed
0.31,0.3,0.24000000000000002,1.52,0.79,4.95,True,False,demand_only,Scenario C fixed
0.31,0.3,0.24500000000000002,1.52,0.8050000000000002,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.25,1.52,0.8200000000000001,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.255,1.52,0.835,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.26,1.52,0.8500000000000001,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.265,1.52,0.865,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.27,1.52,0.8800000000000001,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.275,1.52,0.895,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.27999999999999997,1.52,0.9099999999999999,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.285,1.52,0.925,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.29,1.52,0.94,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.295,1.52,0.9550000000000001,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.3,1.52,0.97,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.305,1.52,0.9850000000000001,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.31,1.52,1.0,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.315,1.52,1.0,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.32,1.52,1.0,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.325,1.52,1.0,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.32999999999999996,1.52,1.0,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.33499999999999996,1.52,1.0,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.33999999999999997,1.52,1.0,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.345,1.52,1.0,5.0,True,True,both_pass,Scenario C fixed
0.31,0.3,0.35,1.52,1.0,5.0,True,True,both_pass,Scenario C fixed
0.32,0.3,0.04,1.44,0.19,1.95,True,False,demand_only,Scenario C fixed
0.32,0.3,0.045,1.44,0.20500000000000002,2.0250000000000004,True,False,demand_only,Scenario C fixed
0.32,0.3,0.05,1.44,0.22000000000000003,2.1,True,False,demand_only,Scenario C fixed
0.32,0.3,0.055,1.44,0.23500000000000001,2.175,True,False,demand_only,Scenario C fixed
0.32,0.3,0.06,1.44,0.25,2.25,True,False,demand_only,Scenario C fixed
0.32,0.3,0.065,1.44,0.265,2.325,True,False,demand_only,Scenario C fixed
0.32,0.3,0.07,1.44,0.28,2.4000000000000004,True,False,demand_only,Scenario C fixed
0.32,0.3,0.07500000000000001,1.44,0.29500000000000004,2.475,True,False,demand_only,Scenario C fixed
0.32,0.3,0.08,1.44,0.31,2.55,True,False,demand_only,Scenario C fixed
0.32,0.3,0.08499999999999999,1.44,0.325,2.625,True,False,demand_only,Scenario C fixed
0.32,0.3,0.09,1.44,0.34,2.7,True,False,demand_only,Scenario C fixed
0.32,0.3,0.095,1.44,0.35500000000000004,2.7750000000000004,True,False,demand_only,Scenario C fixed
0.32,0.3,0.1,1.44,0.37000000000000005,2.8500000000000005,True,False,demand_only,Scenario C fixed
0.32,0.3,0.10500000000000001,1.44,0.38500000000000006,2.9250000000000003,True,False,demand_only,Scenario C fixed
0.32,0.3,0.11000000000000001,1.44,0.4000000000000001,3.0000000000000004,True,False,demand_only,Scenario C fixed
0.32,0.3,0.11499999999999999,1.44,0.415,3.0749999999999997,True,False,demand_only,Scenario C fixed
0.32,0.3,0.12,1.44,0.43,3.15,True,False,demand_only,Scenario C fixed
0.32,0.3,0.125,1.44,0.445,3.225,True,False,demand_only,Scenario C fixed
0.32,0.3,0.13,1.44,0.46,3.3000000000000003,True,False,demand_only,Scenario C fixed
0.32,0.3,0.135,1.44,0.47500000000000003,3.375,True,False,demand_only,Scenario C fixed
0.32,0.3,0.14,1.44,0.49000000000000005,3.45,True,False,demand_only,Scenario C fixed
0.32,0.3,0.145,1.44,0.5049999999999999,3.5249999999999995,True,False,demand_only,Scenario C fixed
0.32,0.3,0.15,1.44,0.52,3.6,True,False,demand_only,Scenario C fixed
0.32,0.3,0.155,1.44,0.5349999999999999,3.675,True,False,demand_only,Scenario C fixed
0.32,0.3,0.16,1.44,0.55,3.75,True,False,demand_only,Scenario C fixed
0.32,0.3,0.165,1.44,0.565,3.8249999999999997,True,False,demand_only,Scenario C fixed
0.32,0.3,0.17,1.44,0.5800000000000001,3.9000000000000004,True,False,demand_only,Scenario C fixed
0.32,0.3,0.17500000000000002,1.44,0.595,3.9749999999999996,True,False,demand_only,Scenario C fixed
0.32,0.3,0.18000000000000002,1.44,0.6100000000000001,4.050000000000001,True,False,demand_only,Scenario C fixed
0.32,0.3,0.185,1.44,0.625,4.125,True,False,demand_only,Scenario C fixed
0.32,0.3,0.19,1.44,0.6400000000000001,4.200000000000001,True,False,demand_only,Scenario C fixed
0.32,0.3,0.195,1.44,0.655,4.275,True,False,demand_only,Scenario C fixed
