scenario,check,check_type,residual,tolerance,status,evidence
E,E-D0-AUTOMATION:entry_count,ledger_pairing,0,1e-08,PASS,Each cash transaction must have exactly one payer and one receiver entry
E,E-D0-AUTOMATION:pair_balance,ledger_pairing,0.0,1e-08,PASS,Payer and receiver cash changes must offset
E,E-D0-AUTOMATION:payer_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Payer entry is reconciled to the policy-generated expected amount
E,E-D0-AUTOMATION:receiver_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Receiver entry is reconciled independently to the same expected amount
E,E-D0-TAX:entry_count,ledger_pairing,0,1e-08,PASS,Each cash transaction must have exactly one payer and one receiver entry
E,E-D0-TAX:pair_balance,ledger_pairing,0.0,1e-08,PASS,Payer and receiver cash changes must offset
E,E-D0-TAX:payer_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Payer entry is reconciled to the policy-generated expected amount
E,E-D0-TAX:receiver_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Receiver entry is reconciled independently to the same expected amount
E,E-D0-TRANSFER:entry_count,ledger_pairing,0,1e-08,PASS,Each cash transaction must have exactly one payer and one receiver entry
E,E-D0-TRANSFER:pair_balance,ledger_pairing,0.0,1e-08,PASS,Payer and receiver cash changes must offset
E,E-D0-TRANSFER:payer_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Payer entry is reconciled to the policy-generated expected amount
E,E-D0-TRANSFER:receiver_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Receiver entry is reconciled independently to the same expected amount
E,E-D0-ADMIN:entry_count,ledger_pairing,0,1e-08,PASS,Each cash transaction must have exactly one payer and one receiver entry
E,E-D0-ADMIN:pair_balance,ledger_pairing,0.0,1e-08,PASS,Payer and receiver cash changes must offset
E,E-D0-ADMIN:payer_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Payer entry is reconciled to the policy-generated expected amount
E,E-D0-ADMIN:receiver_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Receiver entry is reconciled independently to the same expected amount
E,E-D0-INVESTMENT:entry_count,ledger_pairing,0,1e-08,PASS,Each cash transaction must have exactly one payer and one receiver entry
E,E-D0-INVESTMENT:pair_balance,ledger_pairing,0.0,1e-08,PASS,Payer and receiver cash changes must offset
E,E-D0-INVESTMENT:payer_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Payer entry is reconciled to the policy-generated expected amount
E,E-D0-INVESTMENT:receiver_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Receiver entry is reconciled independently to the same expected amount
E,E-D0-RESERVE:entry_count,ledger_pairing,0,1e-08,PASS,Each cash transaction must have exactly one payer and one receiver entry
E,E-D0-RESERVE:pair_balance,ledger_pairing,0.0,1e-08,PASS,Payer and receiver cash changes must offset
E,E-D0-RESERVE:payer_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Payer entry is reconciled to the policy-generated expected amount
E,E-D0-RESERVE:receiver_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Receiver entry is reconciled independently to the same expected amount
E,E-D0-UNUSED:entry_count,ledger_pairing,0,1e-08,PASS,Each cash transaction must have exactly one payer and one receiver entry
E,E-D0-UNUSED:pair_balance,ledger_pairing,0.0,1e-08,PASS,Payer and receiver cash changes must offset
E,E-D0-UNUSED:payer_matches_policy,ledger_reconciliation,-0.0,1e-08,PASS,Payer entry is reconciled to the policy-generated expected amount
E,E-D0-UNUSED:receiver_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Receiver entry is reconciled independently to the same expected amount
E,E-D1-OPERATION:entry_count,ledger_pairing,0,1e-08,PASS,Each cash transaction must have exactly one payer and one receiver entry
E,E-D1-OPERATION:pair_balance,ledger_pairing,0.0,1e-08,PASS,Payer and receiver cash changes must offset
E,E-D1-OPERATION:payer_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Payer entry is reconciled to the policy-generated expected amount
E,E-D1-OPERATION:receiver_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Receiver entry is reconciled independently to the same expected amount
E,E-D0-RESERVE-POSITION:entry_count,ledger_pairing,0,1e-08,PASS,Each deposit operation must have an asset and a liability entry
E,E-D0-RESERVE-POSITION:asset_liability_balance,ledger_pairing,0.0,1e-08,PASS,Asset change minus liability change must be zero
E,E-D0-RESERVE-POSITION:asset_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Public asset entry is reconciled to the expected stock change
E,E-D0-RESERVE-POSITION:liability_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Issuer liability entry is reconciled independently
E,E-D0-UNUSED-POSITION:entry_count,ledger_pairing,0,1e-08,PASS,Each deposit operation must have an asset and a liability entry
E,E-D0-UNUSED-POSITION:asset_liability_balance,ledger_pairing,0.0,1e-08,PASS,Asset change minus liability change must be zero
E,E-D0-UNUSED-POSITION:asset_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Public asset entry is reconciled to the expected stock change
E,E-D0-UNUSED-POSITION:liability_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Issuer liability entry is reconciled independently
E,E-D1-RESERVE-REDEMPTION:entry_count,ledger_pairing,0,1e-08,PASS,Each deposit operation must have an asset and a liability entry
E,E-D1-RESERVE-REDEMPTION:asset_liability_balance,ledger_pairing,0.0,1e-08,PASS,Asset change minus liability change must be zero
E,E-D1-RESERVE-REDEMPTION:asset_matches_policy,ledger_reconciliation,0.0,1e-08,PASS,Public asset entry is reconciled to the expected stock change
