symbol,value,unit,interpretation,selection_rule
omega_H,0.8,population share,Exposed households,Two-group unit-mass normalization
omega_S,0.2,population share,Owners,Complements omega_H
Y_H0,80.0,date-0 goods,Initial aggregate income of H,Round synthetic benchmark
Y_S0,20.0,date-0 goods,Initial aggregate income of S,Round synthetic benchmark
A_H0,10.0,date-0 goods,Initial liquid assets of H,Concentrated ownership illustration
A_S0,90.0,date-0 goods,Initial liquid assets of S,Concentrated ownership illustration
m_H=m_T,0.9,goods per income unit,Local spending response of H and transfer recipients,High-MPC group
m_S,0.3,goods per income unit,Local spending response of owners,Low-MPC group
Z,20.0,date-0 goods,Conditional liquid-income displacement,20 percent of initial aggregate income
P_0=P_1,1.0,price index,Normalized prices,Numeraire; no inflation claim
R_B,1.0,gross nominal return,Treasury deposit return,Value-preserving benchmark
q_0,0.1,"capacity index [0,1]",Initial institutional capacity,Low inherited capacity
delta_q,0.1,rate,Capacity depreciation,Synthetic round value
d_q,0.02,capacity index,Capacity damage,Positive but small
phi_H,0.25,capacity per investment good,High conversion capacity,Makes the declared opportunity floor financeable
phi_L,0.08,capacity per investment good,Low conversion capacity,Same fiscal uses fail the capacity requirement
a,1.0,service per operating good,Operating-input productivity,Unit normalization
b,5.0,service per capacity unit,Capacity service ceiling,Maximum service equals five
rho_O,1.0,opportunity per service,Opportunity conversion,Unit normalization
O_0,1.0,opportunity index,Initial opportunity,Below the target
O_min,5.0,opportunity index,Declared opportunity floor,Requires four service units
