sweep,parameter_1,value_1,unit_1,parameter_2,value_2,unit_2,tax_rate_tau,legal_coverage_lambda,compliance_chi,kappa_gross,fixed_transfer,net_public_resources,delta_demand_0,opportunity_index_1,minimum_resource_cost,technically_attainable,fiscally_feasible,demand_gate,opportunity_gate,joint_gate_pass
collection,tax_rate_tau,0.0,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.0,1.0,1.0,0.0,0.0,0.0,-12.0,,,,,False,,
collection,tax_rate_tau,0.02,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.02,1.0,1.0,0.02,0.4,0.4,-11.760000000000002,,,,,False,,
collection,tax_rate_tau,0.04,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.04,1.0,1.0,0.04,0.8,0.8,-11.52,,,,,False,,
collection,tax_rate_tau,0.06,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.06,1.0,1.0,0.06,1.2,1.2,-11.28,,,,,False,,
collection,tax_rate_tau,0.08,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.08,1.0,1.0,0.08,1.6,1.6,-11.040000000000001,,,,,False,,
collection,tax_rate_tau,0.1,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.1,1.0,1.0,0.1,2.0,2.0,-10.8,,,,,False,,
collection,tax_rate_tau,0.12,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.12,1.0,1.0,0.12,2.4,2.4,-10.559999999999999,,,,,False,,
collection,tax_rate_tau,0.14,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.14,1.0,1.0,0.14,2.8000000000000003,2.8000000000000003,-10.32,,,,,False,,
collection,tax_rate_tau,0.16,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.16,1.0,1.0,0.16,3.2,3.2,-10.08,,,,,False,,
collection,tax_rate_tau,0.18,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.18,1.0,1.0,0.18,3.5999999999999996,3.5999999999999996,-9.840000000000002,,,,,False,,
collection,tax_rate_tau,0.2,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.2,1.0,1.0,0.2,4.0,4.0,-9.6,,,,,False,,
collection,tax_rate_tau,0.22,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.22,1.0,1.0,0.22,4.4,4.4,-9.36,,,,,False,,
collection,tax_rate_tau,0.24,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.24,1.0,1.0,0.24,4.8,4.8,-9.120000000000001,,,,,False,,
collection,tax_rate_tau,0.26,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.26,1.0,1.0,0.26,5.2,5.2,-8.879999999999999,,,,,False,,
collection,tax_rate_tau,0.28,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.28,1.0,1.0,0.28,5.6000000000000005,5.6000000000000005,-8.639999999999999,,,,,False,,
collection,tax_rate_tau,0.3,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.3,1.0,1.0,0.3,6.0,6.0,-8.4,,,,,False,,
collection,tax_rate_tau,0.32,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.32,1.0,1.0,0.32,6.4,6.4,-8.16,,,,,False,,
collection,tax_rate_tau,0.34,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.34,1.0,1.0,0.34,6.800000000000001,6.800000000000001,-7.92,,,,,False,,
collection,tax_rate_tau,0.36,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.36,1.0,1.0,0.36,7.199999999999999,7.199999999999999,-7.680000000000001,,,,,False,,
collection,tax_rate_tau,0.38,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.38,1.0,1.0,0.38,7.6,7.6,-7.440000000000001,,,,,False,,
collection,tax_rate_tau,0.4,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.4,1.0,1.0,0.4,8.0,8.0,-7.2,,,,,False,,
collection,tax_rate_tau,0.42,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.42,1.0,1.0,0.42,8.4,8.4,-6.959999999999999,,,,,False,,
collection,tax_rate_tau,0.44,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.44,1.0,1.0,0.44,8.8,8.8,-6.72,,,,,False,,
collection,tax_rate_tau,0.46,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.46,1.0,1.0,0.46,9.200000000000001,9.200000000000001,-6.479999999999999,,,,,False,,
collection,tax_rate_tau,0.48,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.48,1.0,1.0,0.48,9.6,9.6,-6.239999999999998,,,,,False,,
collection,tax_rate_tau,0.5,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.5,1.0,1.0,0.5,10.0,10.0,-6.0,,,,,False,,
collection,tax_rate_tau,0.52,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.52,1.0,1.0,0.52,10.4,10.4,-5.76,,,,,False,,
collection,tax_rate_tau,0.54,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.54,1.0,1.0,0.54,10.8,10.8,-5.52,,,,,False,,
collection,tax_rate_tau,0.56,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.56,1.0,1.0,0.56,11.200000000000001,11.200000000000001,-5.279999999999998,,,,,False,,
collection,tax_rate_tau,0.58,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.58,1.0,1.0,0.58,11.6,11.6,-5.040000000000001,,,,,False,,
collection,tax_rate_tau,0.6,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.6,1.0,1.0,0.6,12.0,12.0,-4.799999999999999,,,,,False,,
collection,tax_rate_tau,0.62,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.62,1.0,1.0,0.62,12.4,12.4,-4.5600000000000005,,,,,False,,
collection,tax_rate_tau,0.64,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.64,1.0,1.0,0.64,12.8,12.8,-4.3199999999999985,,,,,False,,
collection,tax_rate_tau,0.66,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.66,1.0,1.0,0.66,13.200000000000001,13.200000000000001,-4.08,,,,,False,,
collection,tax_rate_tau,0.68,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.68,1.0,1.0,0.68,13.600000000000001,13.600000000000001,-3.84,,,,,False,,
collection,tax_rate_tau,0.7000000000000001,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.7000000000000001,1.0,1.0,0.7000000000000001,14.000000000000002,14.000000000000002,-3.599999999999998,,,,,False,,
collection,tax_rate_tau,0.72,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.72,1.0,1.0,0.72,14.399999999999999,14.399999999999999,-3.360000000000001,,,,,False,,
collection,tax_rate_tau,0.74,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.74,1.0,1.0,0.74,14.8,14.8,-3.120000000000001,,,,,False,,
collection,tax_rate_tau,0.76,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.76,1.0,1.0,0.76,15.2,15.2,-2.879999999999999,,,,,False,,
collection,tax_rate_tau,0.78,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.78,1.0,1.0,0.78,15.600000000000001,15.600000000000001,-2.639999999999999,,,,,False,,
collection,tax_rate_tau,0.8,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.8,1.0,1.0,0.8,16.0,16.0,-2.4000000000000004,,,,,False,,
collection,tax_rate_tau,0.8200000000000001,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.8200000000000001,1.0,1.0,0.8200000000000001,16.400000000000002,16.400000000000002,-2.16,,,,,False,,
collection,tax_rate_tau,0.84,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.84,1.0,1.0,0.84,16.8,16.8,-1.9199999999999982,,,,,False,,
collection,tax_rate_tau,0.86,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.86,1.0,1.0,0.86,17.2,17.2,-1.6799999999999997,,,,,False,,
collection,tax_rate_tau,0.88,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.88,1.0,1.0,0.88,17.6,17.6,-1.4399999999999995,,,,,False,,
collection,tax_rate_tau,0.9,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.9,1.0,1.0,0.9,18.0,18.0,-1.1999999999999993,,,,,False,,
